author,belong,booktitle,id,title,university,year
"Wei Wang,Haroon Malik,Michael W. Godfrey",Wei Wang 0001,MSR,1,Recommending Posts concerning API Issues in Developer QA Sites.,University of Waterloo,2015
"Wei Wang,Michael W. Godfrey",Wei Wang 0001,ECEASST,2,Investigating Intentional Clone Refactoring.,University of Waterloo,2014
"Wei Wang,Michael W. Godfrey",Wei Wang 0001,ICSME,3,"Recommending Clones for Refactoring Using Design, Context, and History.",University of Waterloo,2014
"Wei Wang,Michael W. Godfrey",Wei Wang 0001,MSR,4,Detecting API usage obstacles: a study of iOS and Android developer questions.,University of Waterloo,2013
"Hadi Hemmati,Sarah Nadi,Olga Baysal,Oleksii Kononenko,Wei Wang,Reid Holmes,Michael W. Godfrey",Wei Wang 0001,MSR,5,The MSR cookbook: mining a decade of research.,University of Waterloo,2013
"Wei Wang,Michael W. Godfrey",Wei Wang 0001,IWSC,6,"We have all of the clones, now what? Toward integrating clone analysis into software quality assessment.",University of Waterloo,2012
"Wei Wang,Michael W. Godfrey",Wei Wang 0001,SCAM,7,A Study of Cloning in the Linux SCSI Drivers.,University of Waterloo,2011
"Wei Wang,Alex X. Liu,Muhammad Shahzad,Kang Ling,Sanglu Lu",Wei Wang 0002,IEEE Journal on Selected Areas in Communications,8,Device-Free Human Activity Recognition Using Commercial WiFi Devices.,Nanjing University,2017
"Kamran Ali,Alex X. Liu,Wei Wang,Muhammad Shahzad",Wei Wang 0002,IEEE Journal on Selected Areas in Communications,9,Recognizing Keystrokes Using WiFi Devices.,Nanjing University,2017
"Wei Wang,Xiaobing Wu,Lei Xie,Sanglu Lu",Wei Wang 0002,Computer Communications,10,Joint storage assignment for D2D offloading systems.,Nanjing University,2016
"Xin Xu,Wei Wang,Jianhong Wang",Wei Wang 0002,Frontiers of Computer Science,11,A three-way incremental-learning algorithm for radar emitter identification.,Nanjing University,2016
"Wei Wang,Alex X. Liu,Muhammad Shahzad",Wei Wang 0002,UbiComp,12,Gait recognition using wifi signals.,Nanjing University,2016
"Chuyu Wang,Lei Xie,Wei Wang,Tao Xue,Sanglu Lu",Wei Wang 0002,INFOCOM,13,Moving tag detection via physical layer analysis for large-scale RFID systems.,Nanjing University,2016
"Wei Wang,Alex X. Liu,Ke Sun",Wei Wang 0002,MobiCom,14,Device-free gesture tracking using acoustic signals.,Nanjing University,2016
"Wei Wang,Alex X. Liu,Ke Sun",Wei Wang 0002,MobiCom,15,Device-free gesture tracking using acoustic signals: demo.,Nanjing University,2016
"Xin Xu,Jiaheng Lu,Wei Wang",Wei Wang 0002,PAKDD (2),16,Incremental Hierarchical Clustering of Stochastic Pattern-Based Symbolic Data.,Nanjing University,2016
"Haipeng Dai,Yuankun Zhong,Alex X. Liu,Wei Wang,Meng Li",Wei Wang 0002,SIGMETRICS,17,Noisy Bloom Filters for Multi-Set Membership Testing.,Nanjing University,2016
"Xin Xu,Wei Wang,Jiaheng Lu",Wei Wang 0002,DASFAA Workshops,18,Incremental Class Discriminant Analysis on Interval-Valued Emitter Signal Parameters.,Nanjing University,2015
"Zhihua Chang,Xiaobing Wu,Wei Wang,Guihai Chen",Wei Wang 0002,GLOBECOM,19,Localization in Wireless Rechargeable Sensor Networks Using Mobile Directional Charger.,Nanjing University,2015
"Wei Wang,Xiaobing Wu,Lei Xie,Sanglu Lu",Wei Wang 0002,INFOCOM,20,Femto-matching: Efficient traffic offloading in heterogeneous cellular networks.,Nanjing University,2015
"Xin Xu,Wei Wang,Jiaheng Lu,Jin Chen",Wei Wang 0002,KSEM,21,Incremental Distributed Weighted Class Discriminant Analysis on Interval-Valued Emitter Parameters.,Nanjing University,2015
"Wei Wang,Alex X. Liu,Muhammad Shahzad,Kang Ling,Sanglu Lu",Wei Wang 0002,MobiCom,22,Understanding and Modeling of WiFi Signal Based Human Activity Recognition.,Nanjing University,2015
"Kamran Ali,Alex X. Liu,Wei Wang,Muhammad Shahzad",Wei Wang 0002,MobiCom,23,Keystroke Recognition Using WiFi Signals.,Nanjing University,2015
"Xiang Lu,Lei Xie,Yafeng Yin,Wei Wang,Baoliu Ye,Sanglu Lu",Wei Wang 0002,ICC,24,Efficient localization based on imprecise anchors in RFID system.,Nanjing University,2014
"An Xie,Xiaoliang Wang,Wei Wang,Sanglu Lu",Wei Wang 0002,IWQoS,25,Designing a disaster-resilient network with software defined networking.,Nanjing University,2014
"Chao Yang,Weiping Zhu 0004,Wei Wang,Lijun Chen 0006,Daoxu Chen,Jiannong Cao",Wei Wang 0002,WCNC,26,Connectivity-based virtual potential field localization in wireless sensor networks.,Nanjing University,2014
"Lichun Li,Xin Xu,Jun Wang,Wei Wang",Wei Wang 0002,Peer-to-Peer Networking and Applications,27,DS2: A DHT-based substrate for distributed services.,Nanjing University,2013
"Xin Xu,Wei Wang,Guilin Zhang",Wei Wang 0002,FUSION,28,Evaluation of mixed-valued features Via set cover criteria.,Nanjing University,2013
"Xin Xu,Wei Wang",Wei Wang 0002,IJPRAI,29,An Incremental Gray Relational Analysis Algorithm for Multi-Class Classification and Outlier Detection.,Nanjing University,2012
"Xin Xu,Wei Wang,Guilin Zhang,Yongsheng Yu",Wei Wang 0002,FUSION,30,An adaptive feature selection method for multi-class classification.,Nanjing University,2012
"Xin Xu,Wei Wang,Xin Chen",Wei Wang 0002,ACIS-ICIS,31,Detecting and Visualizing Profile Correlation in Subspace.,Nanjing University,2011
"Farshad Ahdi,Wei Wang,Vikram Srinivasan,Kee Chaing Chua",Wei Wang 0002,Wireless Networks,32,IPS-MAC: an informative preamble sampling MAC protocol for wireless sensor networks.,Nanjing University,2010
"Wei Wang,Mehul Motani,Vikram Srinivasan",Wei Wang 0002,IEEE/ACM Trans. Netw.,33,Opportunistic energy-efficient contact probing in delay-tolerant applications.,Nanjing University,2009
